Date,Open,High,Low,Close
2019-02-01,11198.459961,11218.509766,11116.080078,11180.660156
2019-02-04,11180.419922,11209.30957,11100.339844,11176.580078
2019-02-05,11178.75,11371.740234,11177.700195,11367.980469
2019-02-06,11337.540039,11347.94043,11297.419922,11324.719727
2019-02-07,11262.969727,11286.459961,11022.019531,11022.019531
2019-02-08,10991.790039,11045.410156,10863.55957,10906.780273
2019-02-11,10955.830078,11041.950195,10944.580078,11014.589844
2019-02-12,11123.429688,11164.379883,11116.860352,11126.080078
2019-02-13,11174.849609,11217.299805,11125.589844,11167.219727
2019-02-14,11257.799805,11260.549805,11077.780273,11089.790039
2019-02-15,11044.799805,11323.049805,11018.950195,11299.799805
2019-02-18,11287.740234,11318.19043,11256.269531,11299.200195
2019-02-19,11280.730469,11371.44043,11244.519531,11309.209961
2019-02-20,11338.740234,11437.469727,11318.740234,11401.969727
2019-02-21,11448.650391,11454.44043,11392.269531,11423.280273
2019-02-22,11422.620117,11504.709961,11420.740234,11457.700195
2019-02-25,11517.759766,11544.30957,11480.490234,11505.389648
2019-02-26,11446.290039,11556.870117,11441.870117,11540.790039
2019-02-27,11493.80957,11521.219727,11442.969727,11487.330078
2019-02-28,11430.799805,11524.990234,11416.080078,11515.639648
2019-03-01,11584.240234,11676.860352,11583.080078,11601.679688
2019-03-04,11646.209961,11650.44043,11591.740234,11592.660156
2019-03-05,11570.969727,11627.780273,11551.450195,11620.740234
2019-03-06,11593.209961,11652.769531,11565.219727,11587.629883
2019-03-07,11546.419922,11612.950195,11452.860352,11517.799805
2019-03-08,11429.769531,11475.549805,11405.209961,11457.839844
2019-03-11,11497.980469,11550.589844,11462.900391,11543.480469
2019-03-12,11612.459961,11618.730469,11499.469727,11524.169922
2019-03-13,11499.320313,11586.900391,11486.740234,11572.410156
2019-03-14,11573.419922,11635.759766,11541.099609,11587.469727
2019-03-15,11608.669922,11725.660156,11575.330078,11685.69043
2019-03-18,11685.540039,11712.360352,11635.879883,11657.05957
2019-03-19,11672.759766,11823.290039,11652.019531,11788.410156
2019-03-20,11704.44043,11721.410156,11596.200195,11603.889648
2019-03-21,11566.870117,11582.540039,11467.790039,11549.959961
2019-03-22,11578.389648,11623.969727,11356.490234,11364.169922
